2644/-61/20/425,2671/431><4:3172/-61/24/510,3285/530>
   25647:1731775130.425585:INF:AAAA:main                               : 815: <1:en12>,<01,fc:d2:b6:73:62:c8>,<1> <Rx Good/Bad,Percent      79168/         7, 0.009%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:1545/-68/14/249,1700/273><1:1859/-66/16/300, 975/156><2:2891/-64/22/466,2554/411><3:2671/-62/21/431,2644/425><4:3285/-61/25/530,3172/510>
   25647:1731775130.529596:INF:AAAA:main                               : 815: <1:en12>,<02,fc:d2:b6:73:64:1c>,<0> <Rx Good/Bad,Percent       3467/        16, 0.459%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4826/-39/36/779,4844/782><1:4816/-37/35/777,4743/766><2:4841/-43/33/781,4856/784><3:4814/-38/36/777,4767/769><4:4859/-41/35/784,4712/761>
   25647:1731775130.790128:INF:AAAA:main                               : 815: <1:en12>,<02,fc:d2:b6:73:64:1c>,<1> <Rx Good/Bad,Percent     175843/        31, 0.018%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4844/-45/33/782,4826/779><1:4743/-42/34/766,4816/777><2:4856/-45/33/784,4841/781><3:4767/-38/35/769,4814/777><4:4712/-40/35/761,4859/784>
   25647:1731775130.859515:INF:AAAA:main                               : 815: <1:en12>,<03,fc:d2:b6:73:66:10>,<0> <Rx Good/Bad,Percent     144359/       302, 0.209%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4829/-41/36/779,4821/778><1:4801/-38/35/775,4707/760><2:4829/-43/33/779,4852/783><3:4834/-36/38/780,4677/755><4:4862/-39/37/785,4846/782>
   25647:1731775131.122060:INF:AAAA:main                               : 815: <1:en12>,<03,fc:d2:b6:73:66:10>,<1> <Rx Good/Bad,Percent     227308/        23, 0.010%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4821/-46/34/778,4829/779><1:4707/-41/35/760,4801/775><2:4852/-46/34/783,4829/779><3:4677/-39/35/755,4834/780><4:4846/-45/34/782,4862/785>
   25647:1731775131.229600:INF:AAAA:main                               : 815: <1:en12>,<04,fc:d2:b6:73:66:0a>,<0> <Rx Good/Bad,Percent       2677/        30, 1.108%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4815/-38/36/777,4796/774><1:4808/-37/35/776,4780/771><2:4828/-42/33/779,4844/782><3:4842/-34/38/781,4686/756><4:4861/-40/35/785,4845/782>
   25647:1731775131.477519:INF:AAAA:main                               : 815: <1:en12>,<04,fc:d2:b6:73:66:0a>,<1> <Rx Good/Bad,Percent     170646/         9, 0.005%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4796/-45/33/774,4815/777><1:4780/-37/35/771,4808/776><2:4844/-45/33/782,4828/779><3:4686/-37/35/756,4842/781><4:4845/-43/34/782,4861/785>
   25647:1731775131.524990:INF:AAAA:main                               : 815: <1:en12>,<05,fc:d2:b6:73:66:07>,<0> <Rx Good/Bad,Percent       1611/         5, 0.309%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4832/-34/36/772,4822/778><1:4829/-35/35/771,4827/779><2:4861/-35/35/776,4852/783><3:4862/-30/38/776,4766/769><4:4864/-32/37/777,4855/784>
   25647:1731775131.777660:INF:AAAA:main                               : 815: <1:en12>,<05,fc:d2:b6:73:66:07>,<1> <Rx Good/Bad,Percent     167311/        20, 0.012%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4822/-46/33/778,4832/772><1:4827/-42/35/779,4829/771><2:4852/-45/33/783,4861/776><3:4766/-39/35/769,4862/776><4:4855/-39/36/784,4864/777>
   25647:1731775131.829088:INF:AAAA:main                               : 815: <1:en12>,<06,fc:d2:b6:73:66:1d>,<0> <Rx Good/Bad,Percent      21955/       164, 0.741%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4841/-39/37/781,4844/782><1:4800/-39/35/775,4748/766><2:4855/-41/35/784,4846/782><3:4836/-37/37/781,4727/763><4:4859/-41/35/784,4846/782>
   25647:1731775132.85597 :INF:AAAA:main                               : 815: <1:en12>,<06,fc:d2:b6:73:66:1d>,<1> <Rx Good/Bad,Percent     183386/        25, 0.014%> <Rx BPS/PWR/SNR/PHYRate,TX BPS/PHYRate> per channel <0:4844/-46/34/782,4841/781><1:4748/-44/34/766,4800/775><2:4846/-47/33/782,4855/784><3:4727/-39/35/763,4836/781><4:4846/-43/35/782,4859/784>
